home,away,home_score,away_score
Qatar,Ecuador,1.0,1.0
Senegal,Netherlands,1.0,1.0
England,Iran,2.0,0.0
USA,Wales,1.0,0.0
France,Australia,2.0,0.0
Denmark,Tunisia,2.0,0.0
Mexico,Poland,0.0,1.0
Argentina,Saudi Arabia,2.0,0.0
Belgium,Canada,3.0,0.0
Spain,Costa Rica,2.0,0.0
Germany,Japan,2.0,0.0
Morocco,Croatia,0.0,1.0
Switzerland,Cameroon,1.0,1.0
Uruguay,South Korea,1.0,0.0
Portugal,Ghana,2.0,0.0
Brazil,Serbia,2.0,0.0
Wales,Iran,1.0,0.0
Qatar,Senegal,0.0,1.0
Netherlands,Ecuador,2.0,0.0
England,USA,2.0,0.0
Tunisia,Australia,2.0,0.0
Poland,Saudi Arabia,1.0,0.0
France,Denmark,1.0,1.0
Argentina,Mexico,1.0,0.0
Japan,Costa Rica,1.0,0.0
Belgium,Morocco,1.0,0.0
Croatia,Canada,2.0,0.0
Spain,Germany,1.0,1.0
Cameroon,Serbia,0.0,2.0
South Korea,Ghana,2.0,0.0
Brazil,Switzerland,2.0,0.0
Portugal,Uruguay,0.0,0.0
Wales,England,1.0,1.0
Iran,USA,1.0,0.0
Ecuador,Senegal,0.0,1.0
Netherlands,Qatar,2.0,0.0
Australia,Denmark,1.0,1.0
Tunisia,France,0.0,1.0
Poland,Argentina,1.0,1.0
Saudi Arabia,Mexico,0.0,1.0
Croatia,Belgium,1.0,1.0
Canada,Morocco,0.0,1.0
Japan,Spain,0.0,1.0
Costa Rica,Germany,0.0,1.0
Ghana,Uruguay,1.0,0.0
South Korea,Portugal,2.0,0.0
Serbia,Switzerland,1.0,1.0
Cameroon,Brazil,0.0,5.0
